;YEAR;STATION;MOYENNE;STD;MIN;%25;%50;%75;MAX
0;2010;04202099999;7550.010247559463;9942.99534574055;30;270.0;930.0;22000.0;22000
1;2021;04202099999;9460.978061190775;10356.193051465014;0;457.0;1829.0;22000.0;22000
2;2016;04202099999;9318.730908651523;10434.647431651276;2;335.0;1402.0;22000.0;22000
3;2020;04202099999;11765.594656015426;10667.553779244248;0;366.0;22000.0;22000.0;22000
4;2017;04202099999;9548.386848788523;10462.436498421717;0;457.0;1402.0;22000.0;22000
5;2014;04202099999;8346.001771631043;10197.209238531059;1;396.0;1097.0;22000.0;22000
6;2015;04202099999;9956.308538011695;10616.349996950135;2;305.0;1463.0;22000.0;22000
7;2019;04202099999;10076.733567757641;10514.590720429458;0;396.0;1981.0;22000.0;22000
8;2012;04202099999;8375.691190253046;10305.927505082873;30;270.0;900.0;22000.0;22000
9;2013;04202099999;8733.881171303075;10326.247255387667;2;330.0;1128.0;22000.0;22000
10;2018;04202099999;10070.904734781061;10467.505795838419;0;488.0;2134.0;22000.0;22000
11;2011;04202099999;9042.972956511147;10386.229897915558;30;420.0;1200.0;22000.0;22000
12;2010;07002099999;6259.211517761033;9076.410140536991;15;600.0;990.0;7500.0;22000
13;1980;04202099999;10977.549544419135;10154.63372488183;15;1350.0;4500.0;22000.0;22000
14;2016;07002099999;1188.0405405405406;1358.7719385399353;0;480.0;780.0;990.0;7800
15;2002;07002099999;7903.7456078706955;9496.43933701006;15;750.0;1500.0;22000.0;22000
16;2011;07002099999;7159.994609164421;9608.15043738237;15;480.0;990.0;22000.0;22000
17;2014;07002099999;1073.9332096474955;1058.3989253719503;30;390.0;600.0;1500.0;7500
18;2021;07002099999;5669.913294797688;8743.919733936149;0;600.0;900.0;3000.0;22000
19;2021;71043599999;8624.958098670872;9558.745274965866;30;914.0;2682.0;22000.0;22000
20;1995;04202099999;10339.171946149278;9987.696842061401;15;1200.0;3900.0;22000.0;22000
21;2012;07002099999;6077.519602718244;9053.527652105833;15;480.0;900.0;5400.0;22000
22;2015;07002099999;1206.9252077562328;1394.1804252577015;0;390.0;780.0;1500.0;8400
23;2002;04202099999;10730.00743617285;10262.329610352113;15;960.0;3600.0;22000.0;22000
24;2017;07002099999;5314.7120055517;8369.020324050047;0;600.0;990.0;3000.0;22000
25;2018;07002099999;7154.592326139089;9304.125750572848;30;780.0;1500.0;22000.0;22000
26;2013;07002099999;2428.4317862165963;5559.431598592188;15;480.0;600.0;1200.0;22000
27;2019;07002099999;6759.31712962963;9125.619008573767;0;780.0;1200.0;22000.0;22000
28;2020;07002099999;6967.9338284942605;9389.421350414428;0;780.0;990.0;22000.0;22000
29;2022;04202099999;15243.415289256198;9936.175860005244;0;1150.5;22000.0;22000.0;22000
30;2012;71043599999;9758.43470206854;9753.025731614687;60;1500.0;2700.0;22000.0;22000
31;2017;71043599999;7193.400251256281;8500.301374894663;30;732.0;2804.0;8534.0;22000
32;2015;61017099999;8798.084745762711;1008.4397021720479;240;9000.0;9000.0;9000.0;9000
33;2016;71043599999;7528.906867588933;8805.317407194092;30;762.0;2713.0;22000.0;22000
34;2015;71043599999;7085.1598702502315;8715.340581796381;30;610.0;2438.0;7620.0;22000
35;2020;61017099999;19481.717791411043;5619.633020081577;1200;22000.0;22000.0;22000.0;22000
36;2018;61017099999;8669.750219106047;1414.9166438339062;90;9000.0;9000.0;9000.0;22000
37;2018;71043599999;7247.581034935645;8807.795537616783;30;701.0;2438.0;22000.0;22000
38;2002;71043599999;8138.510695911184;9085.16691410851;15;900.0;3000.0;22000.0;22000
39;2019;61017099999;8942.028145695363;2308.3580302662876;240;9000.0;9000.0;9000.0;22000
40;2016;61017099999;8804.251626898047;949.5609214794315;4200;9000.0;9000.0;9000.0;9000
41;2012;61017099999;9371.464267866068;2904.801181638352;240;9000.0;9000.0;9000.0;22000
42;2019;71043599999;8232.283254022208;9409.0779410525;30;853.0;2438.0;22000.0;22000
43;2020;71043599999;8352.430468046805;9327.901580280832;30;1128.0;2560.0;22000.0;22000
44;2011;71043599999;9097.894736842105;9732.015959700362;30;1200.0;2400.0;22000.0;22000
45;2013;61017099999;8881.349206349207;1337.7226979124553;1500;9000.0;9000.0;9000.0;22000
46;2014;71043599999;8065.329046687168;9387.528462852144;30;610.0;2134.0;22000.0;22000
47;1995;71043599999;10936.053864168618;10275.953516597974;30;1050.0;3600.0;22000.0;22000
48;2022;07002099999;6669.124423963133;9252.382811160162;30;480.0;990.0;22000.0;22000
49;2010;71043599999;9299.135682574917;9707.95701623106;15;1050.0;3000.0;22000.0;22000
50;2014;61017099999;8810.119096509241;955.7730710246093;240;9000.0;9000.0;9000.0;9000
51;2017;61017099999;8822.587532023912;910.5521041479127;1500;9000.0;9000.0;9000.0;9000
52;2013;71043599999;8898.117204301076;9595.342444680557;30;1500.0;2700.0;22000.0;22000
53;2011;61017099999;8751.219774314884;1296.9783185013268;120;9000.0;9000.0;9000.0;22000
54;2002;93546099999;168.8372093023256;81.50983879629506;30;120.0;240.0;240.0;240
55;2022;71043599999;14062.320522674865;9668.15310050883;213;2438.0;22000.0;22000.0;22000
56;1980;07002099999;7229.270742358079;9126.75193167067;15;750.0;3000.0;22000.0;22000
57;2014;67743099999;5135.9;6765.497095633137;180;1372.0;2743.0;3048.0;22000
58;2002;61017099999;14173.838245373543;6749.317389445737;15;9000.0;9000.0;22000.0;22000
59;1995;61017099999;10948.027013989387;4774.279344357337;300;9000.0;9000.0;10500.0;22000
60;1980;61017099999;13211.491228070176;6492.883299163928;1200;9000.0;9000.0;22000.0;22000
61;1995;07002099999;9153.179302711676;9902.13379187964;15;750.0;3000.0;22000.0;22000
62;2013;67743099999;7595.484375;8380.66637294773;274;2438.0;3000.0;9000.0;22000
63;1995;93546099999;1487.5027932960893;2684.337712124295;15;570.0;1140.0;1800.0;22000
64;2015;67743099999;2116.639705882353;2907.220816071455;244;898.75;1326.0;2743.0;22000
65;1980;71043599999;13707.298787210584;10148.746648209355;15;1500.0;22000.0;22000.0;22000
66;2021;61017099999;19451.16248348745;5775.3029553487595;120;22000.0;22000.0;22000.0;22000
67;2010;61017099999;9382.988700564973;2966.651454664305;240;9000.0;9000.0;9000.0;22000
68;2002;67743099999;16889.988636363636;8397.38821874659;300;7875.0;22000.0;22000.0;22000
69;2022;67743099999;10933.054794520547;9833.847785025238;150;2400.0;3000.0;22000.0;22000
70;2018;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
71;2017;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
72;2010;67743099999;10775.181518151816;9758.312932536586;90;1500.0;4500.0;22000.0;22000
73;2017;67743099999;3457.012195121951;5485.094811363482;244;914.0;2438.0;3000.0;22000
74;2021;67743099999;10396.677248677248;9750.498927035915;300;1829.0;3000.0;22000.0;22000
75;2020;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
76;2013;43376099999;19812.5;5811.847686356875;4500;22000.0;22000.0;22000.0;22000
77;2019;67743099999;8314.867346938776;9322.078279492162;240;1372.0;2700.0;22000.0;22000
78;2011;67743099999;15469.114391143912;9209.677797768933;240;3000.0;22000.0;22000.0;22000
79;2022;80372099999;12575.04044117647;10634.010164522613;30;549.0;22000.0;22000.0;22000
80;2021;80372099999;11448.233136094674;10581.739185766346;30;762.0;22000.0;22000.0;22000
81;2022;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
82;2010;43376099999;17079.320113314447;7778.590780883187;4500;4500.0;22000.0;22000.0;22000
83;1980;67743099999;15080.981996726678;8776.160612686808;60;4500.0;22000.0;22000.0;22000
84;2018;67743099999;9830.818181818182;9785.774743109714;240;1821.75;3000.0;22000.0;22000
85;1995;80372099999;9306.778169014084;8694.463051255441;15;4500.0;4500.0;22000.0;22000
86;2022;61017099999;17965.220125786163;7353.858648195373;120;22000.0;22000.0;22000.0;22000
87;2012;43376099999;18295.26462395543;7158.949930384778;4500;22000.0;22000.0;22000.0;22000
88;2011;43376099999;17648.688046647232;7508.166491442453;4500;10500.0;22000.0;22000.0;22000
89;2016;67743099999;2408.909638554217;1447.1977554226908;366;1372.0;2438.0;3048.0;9000
90;2021;43376099999;21944.057971014492;1039.0770709722592;2700;22000.0;22000.0;22000.0;22000
91;1980;80372099999;8963.521983161834;9037.069956238305;15;750.0;4500.0;22000.0;22000
92;1995;67743099999;17193.27222731439;8184.608435716871;210;10500.0;22000.0;22000.0;22000
93;2012;67743099999;15790.843023255815;9034.338260235741;300;3000.0;22000.0;22000.0;22000
94;2020;67743099999;7175.9405405405405;8945.036480819095;150;1067.0;2438.0;22000.0;22000
95;2019;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
96;2020;80372099999;2032.0;465.4589133317784;1524;1829.0;2134.0;2286.0;2438
97;2019;80372099999;4601.625;7241.046016337301;183;1524.0;1524.0;3352.5;22000
98;1995;43376099999;22000.0;;22000;22000.0;22000.0;22000.0;22000
99;2002;80372099999;450.0;;450;450.0;450.0;450.0;450
100;2012;80372099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
101;2015;80372099999;5066.533333333334;8791.335652355729;91;350.5;610.0;2134.0;22000
102;2017;80372099999;10731.588235294117;9757.522662405298;91;3048.0;3962.0;22000.0;22000
103;2002;43376099999;22000.0;0.0;22000;22000.0;22000.0;22000.0;22000
104;2016;80372099999;1591.6296296296296;990.6316612743046;305;838.0;1219.0;2438.0;3962
105;2010;80372099999;18406.379310344826;7939.008845408472;15;22000.0;22000.0;22000.0;22000
106;2011;80372099999;14866.666666666666;12355.295760657991;600;11300.0;22000.0;22000.0;22000
107;2018;80372099999;5756.681818181818;7864.8038172872175;244;1829.0;2438.0;3048.0;22000
108;2014;80372099999;4366.373333333333;6986.911959056276;152;1524.0;1829.0;2134.0;22000
109;2013;80372099999;17434.6875;8766.961563762208;610;22000.0;22000.0;22000.0;22000
