;YEAR;STATION;MOYENNE;STD;MIN;%25;%50;%75;MAX
0;2010;04202099999;1013.6044965245434;10.854050579202275;975.0;1007.2999877929688;1013.4000244140625;1020.2000122070312;1056.3
1;2021;04202099999;1009.519859180061;10.815844727442997;972.1;1002.2999877929688;1009.7999877929688;1016.7999877929688;1053.9
2;2016;04202099999;1007.766311036655;9.917985370260883;973.9;1001.0999755859375;1008.4000244140625;1014.5999755859375;1033.2
3;2020;04202099999;1006.361043278624;10.235399501375275;969.1;1000.2000122070312;1007.2000122070312;1012.5;1053.2
4;2017;04202099999;1007.3997755602616;10.111969733959208;973.6;1000.9000244140625;1007.5999755859375;1013.2000122070312;1040.0
5;2014;04202099999;1006.9176899137307;10.113477765796933;970.5;1000.7000122070312;1008.2000122070312;1013.9000244140625;1032.7
6;2015;04202099999;1006.2724252463411;11.205979830779;974.1;998.7999877929688;1006.7000122070312;1013.7999877929688;1046.4
7;2019;04202099999;1009.273218873063;10.3223714192914;967.8;1002.7000122070312;1010.5;1016.7000122070312;1030.4
8;2012;04202099999;1011.8924420655992;9.746257832429722;977.6;1005.4000244140625;1011.9000244140625;1019.5;1036.5
9;2013;04202099999;1008.3448874218494;11.828022606809654;972.5;1000.2999877929688;1007.7000122070312;1016.4000244140625;1048.5
10;2018;04202099999;1006.8576634202049;11.39088052685355;962.2;999.4000244140625;1005.5;1014.0999755859375;1040.3
11;2011;04202099999;1007.8190689326774;11.450960309270632;965.1;999.0999755859375;1007.2999877929688;1016.5249938964844;1045.6
12;2010;07002099999;1014.520379117703;10.069297400430164;969.5;1009.0;1016.0;1021.0;1040.8
13;1980;04202099999;1012.135318217185;11.185581196771118;962.8;1005.2999877929688;1012.6499938964844;1019.5;1046.6
14;2016;07002099999;1016.5562647129717;10.242480030651285;978.7;1010.7999877929688;1017.9000244140625;1023.5;1046.0
15;2002;07002099999;1015.1017895555603;9.628135397806522;976.1;1008.7999877929688;1015.9000244140625;1021.2000122070312;1039.8
16;2011;07002099999;1017.0897884683596;8.547490018767752;974.4;1012.0;1017.4000244140625;1022.5;1041.1
17;2014;07002099999;1013.2537351711985;9.483466840048758;979.1;1007.5;1014.2999877929688;1020.0999755859375;1041.1
18;2021;07002099999;1016.673508392717;10.273891272255822;979.8;1010.2999877929688;1018.0;1024.4000244140625;1041.4
19;2021;71043599999;1013.0093386496669;11.208482706481528;984.0;1005.7999877929688;1012.5;1019.5999755859375;1059.7
20;1995;04202099999;1012.5244072263844;11.362692357013202;974.8;1004.5;1012.2999877929688;1019.5;1050.9
