;YEAR;STATION;MOYENNE;STD;MIN;%25;%50;%75;MAX
0;2010;04202099999;-7.324124741008341;10.044877292492162;-37.0;-15.0;-6.0;1.0;13.0
1;2021;04202099999;-7.170090255251503;10.300544915843117;-34.3;-15.0;-6.0;1.399999976158142;15.0
2;2016;04202099999;-7.6236126113575375;10.489596076705347;-34.0;-16.299999237060547;-6.0;0.0;15.5
3;2020;04202099999;-9.014317030707995;11.717605228292971;-40.3;-16.600000381469727;-8.0;0.0;15.0
4;2017;04202099999;-8.561021782769217;11.195356211448651;-38.0;-17.299999237060547;-6.199999809265137;0.0;13.3
5;2014;04202099999;-7.766817283427537;10.233995516547985;-33.0;-16.0;-7.699999809265137;1.0;12.5
6;2015;04202099999;-9.353004678187501;11.738799618325174;-37.0;-19.0;-7.099999904632568;0.0;18.7
7;2019;04202099999;-7.441178458775207;11.858136836501469;-35.6;-17.0;-5.0;2.0;17.4
8;2012;04202099999;-7.6924650727772255;11.645186733776807;-40.0;-17.0;-4.0;0.0;17.0
9;2013;04202099999;-8.380399093819772;10.153669518807222;-33.0;-16.0;-8.0;1.0;12.0
10;2018;04202099999;-10.765847767454336;11.461619454909801;-35.8;-20.799999237060547;-12.0;1.0;14.2
11;2011;04202099999;-9.142422070942315;10.936242172484501;-34.0;-18.0;-8.0;-1.0;17.0
12;2010;07002099999;9.610455153160743;6.419827815547345;-6.2;4.599999904632568;9.899999618530273;15.300000190734863;26.4
13;1980;04202099999;-10.576555023923445;10.275851750792043;-34.0;-19.0;-11.0;-2.0;15.0
14;2016;07002099999;11.195904357983816;5.360212276676793;-3.9;7.199999809265137;10.600000381469727;15.5;31.9
15;2002;07002099999;11.328019536029927;4.894147495878437;-5.3;8.300000190734863;11.100000381469727;14.800000190734863;29.9
16;2011;07002099999;11.63099988438073;4.920704402821287;-3.2;8.0;12.100000381469727;15.300000190734863;32.4
17;2014;07002099999;12.221903073978797;4.679102545737992;-1.0;8.399999618530273;12.300000190734863;16.0;28.0
18;2021;07002099999;11.01710463336162;5.376873345860999;-5.6;7.0;10.600000381469727;15.399999618530273;28.1
19;2021;71043599999;-5.657657657657658;17.600377586876935;-45.0;-21.0;-4.0;9.0;31.0
20;1995;04202099999;-11.381175793764356;13.578646970425538;-40.0;-24.924999713897705;-8.0;1.0;17.0
21;2012;07002099999;10.507707490172244;5.428487619805619;-8.5;7.300000190734863;10.100000381469727;14.600000381469727;28.4
22;2015;07002099999;11.398143208292675;4.80779879809658;-1.6;8.0;11.600000381469727;14.699999809265137;35.4
23;2002;04202099999;-9.735034323029005;12.59789444887135;-41.2;-20.600000381469727;-8.0;2.0;14.3
24;2017;07002099999;11.566666670529454;5.458772454359483;-4.4;7.699999809265137;11.600000381469727;15.699999809265137;31.9
25;2018;07002099999;11.438745904971867;6.073143222825435;-6.9;7.0;11.300000190734863;16.200000762939453;31.6
26;2021;93546099999;13.67133054518511;4.737842019189421;-0.7;10.600000381469727;13.899999618530273;17.299999237060547;26.3
27;2013;07002099999;10.134631732979766;5.963368813861177;-9.0;6.1499998569488525;9.899999618530273;14.800000190734863;32.5
28;2019;07002099999;11.68962394023804;5.3417674023931605;-2.0;7.900000095367432;11.100000381469727;15.899999618530273;36.0
29;2020;07002099999;12.203507540188028;5.2761175829267595;-0.9;8.300000190734863;11.699999809265137;15.899999618530273;37.3
30;2022;04202099999;-18.349041084135504;6.006579814387536;-35.1;-22.0;-19.0;-14.399999618530273;1.1
31;2012;71043599999;-5.071940205543444;18.75291364121992;-42.0;-22.0;-5.0;13.0;32.0
32;2017;71043599999;-3.5107125062282014;16.360968664164147;-39.0;-17.75;-5.0;10.0;33.0
33;2015;61017099999;27.29252299240657;9.786350741357998;1.2;20.700000762939453;28.0;34.79999923706055;45.7
34;2016;71043599999;-4.429693251533743;16.1334077350068;-44.0;-17.0;-6.0;9.0;32.0
35;2020;93546099999;13.590863448961912;4.338908208602192;0.4;10.699999809265137;13.800000190734863;16.700000762939453;29.4
36;2015;71043599999;-3.8181601525262154;15.693490342845072;-43.0;-18.0;-2.0;9.0;29.0
37;2020;61017099999;27.70616936010699;9.468178892867583;2.9;21.100000381469727;28.299999237060547;35.0;47.2
38;2018;61017099999;28.505263175897984;9.564384606900532;2.0;22.299999237060547;29.399999618530273;36.20000076293945;46.5
39;2018;71043599999;-4.886029411764706;14.545875336324606;-41.0;-16.0;-5.0;6.0;31.0
40;2002;71043599999;-5.120444718962323;16.15593447912919;-43.0;-18.0;-6.0;9.0;29.0
41;2019;61017099999;28.32892899947133;9.522299265876251;0.3;22.0;29.399999618530273;35.599998474121094;45.5
42;2016;61017099999;28.826259174687667;9.412799375012316;2.2;22.200000762939453;29.399999618530273;36.5;47.2
