;YEAR;STATION;MOYENNE;STD;MIN;%25;%50;%75;MAX
0;2010;04202099999;8590.58800085025;3916.035648868429;400;4800.0;11265.0;11265.0;11265
1;2021;04202099999;8311.701027532605;3149.2479626286618;0;9000.0;9999.0;9999.0;11265
2;2016;04202099999;7506.054366720614;3550.234781641482;0;4000.0;9999.0;9999.0;9999
3;2020;04202099999;8153.529891118264;3270.29883671515;0;8000.0;9999.0;9999.0;11265
4;2017;04202099999;8671.141906572515;2722.582065324238;0;9999.0;9999.0;9999.0;16093
5;2014;04202099999;8065.152720492683;3191.6629355684872;400;6000.0;9999.0;9999.0;9999
6;2015;04202099999;7480.591564735749;3568.233691377919;0;4000.0;9999.0;9999.0;9999
7;2019;04202099999;8596.996216216216;2885.61170510083;200;9999.0;9999.0;9999.0;16093
8;2012;04202099999;8100.315826412446;4261.966211282164;400;3200.0;11265.0;11265.0;11265
9;2013;04202099999;8087.7419504554155;3600.6679853972873;400;4800.0;9999.0;9999.0;11265
10;2018;04202099999;8478.192160204517;2946.810925498626;0;9000.0;9999.0;9999.0;16093
11;2011;04202099999;8645.824274280254;3928.9453632576838;100;4800.0;11265.0;11265.0;11265
12;2010;07002099999;12721.190987124464;6823.454740669493;200;8000.0;12000.0;18000.0;45000
13;1980;04202099999;12244.817767653758;7097.511425633666;0;11200.0;11200.0;11200.0;30000
14;2016;07002099999;13171.208361429535;6917.842908778522;0;8000.0;12000.0;18000.0;70001
15;2002;07002099999;16347.344806392133;10645.790647258982;0;10000.0;15000.0;20000.0;75000
16;2011;07002099999;12970.445996775927;8517.155190726266;0;7000.0;10000.0;18000.0;70000
17;2014;07002099999;13368.806161745828;7332.405090116241;100;7000.0;13000.0;20000.0;45000
18;2021;07002099999;10055.6204238921;5540.19683653726;0;6000.0;10000.0;15000.0;70001
19;2021;71043599999;28835.519035818877;13866.462347113493;402;16093.0;40234.0;40234.0;48280
20;1995;04202099999;15132.180702622463;10714.176731908126;0;11265.0;11265.0;11265.0;35000
21;2012;07002099999;16453.56585111921;12242.139443883974;0;8000.0;14000.0;22000.0;75000
22;2015;07002099999;13278.737541528239;6453.71818863594;0;8000.0;15000.0;20000.0;45000
23;2002;04202099999;13910.963328399934;8222.118651526498;0;11265.0;11265.0;11265.0;30000
24;2017;07002099999;12313.887307911213;6751.250670842454;0;8000.0;12000.0;15000.0;70000
25;2018;07002099999;10905.15625;5511.254246827677;100;7000.0;10000.0;15000.0;30000
26;2021;93546099999;16590.520055970148;5606.896776407482;50;10000.0;20000.0;20000.0;20000
27;2013;07002099999;13305.736348593491;8867.327866949889;0;6000.0;12000.0;20000.0;50000
28;2019;07002099999;11129.17566191446;5450.916349627374;0;8000.0;10000.0;15000.0;70001
29;2020;07002099999;11121.905868680999;5252.367359313391;0;8000.0;10000.0;15000.0;25000
30;2022;04202099999;8637.22409858512;2700.10678214771;200;9000.0;9999.0;9999.0;9999
31;2012;71043599999;29824.597715344244;13662.653471522197;201;16093.0;40233.0;40233.0;40233
32;2017;71043599999;23494.83806676632;11913.273037485229;0;12875.0;32187.0;32187.0;40234
33;2015;61017099999;8638.840216937839;2443.598667402276;300;8000.0;10000.0;10000.0;19000
34;2016;71043599999;24859.712392638037;10652.595412841041;201;16093.0;32187.0;32187.0;40234
35;2020;93546099999;16883.38690237043;5251.084756363248;200;10000.0;20000.0;20000.0;20000
36;2015;71043599999;21925.30946350449;12573.400169273737;201;12875.0;24140.0;24140.0;96561
37;2020;61017099999;8708.209255533198;1851.7468502520344;800;8000.0;10000.0;10000.0;16000
38;2018;61017099999;8295.054229934924;2746.6096223582167;500;6000.0;10000.0;10000.0;10000
39;2018;71043599999;24282.939600840335;9921.318312321295;201;16093.0;24140.0;32187.0;40234
40;2002;71043599999;20646.806180536732;7342.770489509407;0;24140.0;24140.0;24140.0;80467
41;2019;61017099999;8271.457821457821;2202.456694152512;200;8000.0;8000.0;10000.0;20000
42;2016;61017099999;8451.764199655767;2553.9687251711916;600;6000.0;10000.0;10000.0;19000
43;2012;61017099999;8932.503013258336;2365.849312348725;0;10000.0;10000.0;10000.0;19000
44;2019;71043599999;28054.80425917535;13072.495300637835;0;24140.0;32187.0;40234.0;48280
45;2020;71043599999;30298.174820466786;12983.493246533762;402;24140.0;40234.0;40234.0;56327
46;2011;71043599999;28646.565515350878;14085.505377773392;0;16093.0;40233.0;40233.0;40233
47;2013;61017099999;9147.020408163266;2033.5952639154102;300;10000.0;10000.0;10000.0;20000
48;2014;71043599999;25377.1757693374;13611.953437922226;0;16093.0;24140.0;40234.0;80467
49;1995;71043599999;20796.945827232797;6917.689252384325;201;24140.0;24140.0;24140.0;32187
50;2022;07002099999;9947.238095238095;5253.484575189315;100;6000.0;9000.0;15000.0;30000
51;2010;71043599999;29678.352386237515;13290.654715210318;0;16093.0;40233.0;40233.0;56327
52;2014;61017099999;8791.049633848657;2481.072271043528;300;10000.0;10000.0;10000.0;20000
53;2017;61017099999;8424.469889737065;2624.1202002490636;200;6000.0;10000.0;10000.0;19000
54;2013;71043599999;30036.49569892473;12778.491220293356;201;19312.0;40233.0;40234.0;40234
