;YEAR;STATION;MOYENNE;STD;MIN;%25;%50;%75;MAX
0;2010;04202099999;150.72707903322458;78.21250997807186;010;90.0;120.0;240.0;360
1;2021;04202099999;158.83349874036185;82.46876718805245;010;100.0;130.0;230.0;360
2;2016;04202099999;159.95111352525802;78.20018465710909;010;100.0;130.0;250.0;360
3;2020;04202099999;169.6814928014156;78.3440147387817;010;110.0;140.0;260.0;360
4;2017;04202099999;154.4293728543917;77.2100202017939;010;100.0;120.0;200.0;360
5;2014;04202099999;158.76077379812295;80.88943639723817;010;100.0;130.0;240.0;360
6;2015;04202099999;169.44930587538653;81.03752576630833;010;100.0;140.0;260.0;360
7;2019;04202099999;165.59692529425894;78.13549092761413;010;100.0;140.0;250.0;360
8;2012;04202099999;155.680568126436;82.25829351421355;010;90.0;120.0;250.0;360
9;2013;04202099999;159.62087240114147;81.13546834074096;010;90.0;130.0;250.0;360
10;2018;04202099999;151.4035998615438;75.96101941093006;010;100.0;120.0;170.0;360
11;2011;04202099999;136.815120573539;70.46183571827063;010;90.0;110.0;150.0;360
12;2010;07002099999;180.02190847127557;101.77822252434976;010;80.0;180.0;260.0;360
13;1980;04202099999;144.96827858451994;70.96637536874914;010;100.0;120.0;160.0;360
14;2016;07002099999;187.64255910987484;93.8526955565535;010;120.0;200.0;250.0;360
15;2002;07002099999;179.9309650510571;90.12550932682112;010;120.0;190.0;240.0;360
16;2011;07002099999;195.8759546401296;90.66166211576012;010;130.0;220.0;260.0;360
17;2014;07002099999;185.37721278365214;88.89038417051339;010;130.0;190.0;250.0;360
18;2021;07002099999;182.1852074564041;99.31676311051807;010;80.0;200.0;250.0;360
19;2021;71043599999;186.31020196789228;102.73534315153559;010;80.0;200.0;270.0;360
20;1995;04202099999;152.34066921176733;77.39537641748508;010;90.0;120.0;240.0;360
21;2012;07002099999;196.71737858396725;88.57315586955733;010;130.0;220.0;260.0;360
22;2015;07002099999;193.5326022874661;90.70242348925413;010;130.0;210.0;250.0;360
23;2002;04202099999;133.97979595919185;74.348668510143;010;80.0;100.0;160.0;360
24;2017;07002099999;207.54424508726962;89.92495665003247;010;140.0;230.0;270.0;360
25;2018;07002099999;169.35646465830501;94.94291923144782;010;80.0;170.0;240.0;360
26;2021;93546099999;170.318864191784;104.84643727264032;010;60.0;190.0;240.0;360
27;2013;07002099999;176.6427496817498;98.34575378730847;010;80.0;190.0;250.0;360
28;2019;07002099999;188.8680547567008;92.77194552768087;010;120.0;200.0;250.0;360
29;2020;07002099999;184.118873826903;91.14596422428508;010;110.0;200.0;250.0;360
30;2022;04202099999;87.69916284093978;57.937718911471855;010;50.0;70.0;100.0;360
31;2012;71043599999;195.56235294117647;95.16576129323683;010;100.0;240.0;270.0;360
32;2017;71043599999;195.8092738407699;104.8670871626562;010;80.0;230.0;280.0;360
33;2015;61017099999;124.12064570943076;87.03015188426171;040;40.0;100.0;140.0;360
34;2016;71043599999;168.50100315276583;102.16080069727369;010;70.0;150.0;260.0;360
35;2020;93546099999;166.0897564902395;104.94431846259036;010;60.0;190.0;240.0;360
36;2015;71043599999;184.71555323590815;103.95329799073181;010;80.0;200.0;270.0;360
37;2020;61017099999;119.35846030473135;82.0605752858644;040;40.0;100.0;140.0;360
38;2018;61017099999;147.9145299145299;86.43055457356185;020;100.0;140.0;180.0;360
39;2018;71043599999;189.66240875912408;105.70885110924337;010;80.0;210.0;280.0;360
40;2002;71043599999;197.3736998514116;104.31410000408212;010;90.0;240.0;290.0;360
41;2019;61017099999;134.1371340523883;88.24723274108963;020;100.0;100.0;180.0;360
42;2016;61017099999;137.98632218844986;84.45379754184583;020;100.0;120.0;180.0;360
43;2012;61017099999;131.56060606060606;92.5986765499294;020;40.0;100.0;180.0;360
44;2019;71043599999;182.99638989169677;105.80760561801821;010;80.0;190.0;280.0;360
45;2020;71043599999;194.28127428127428;101.57966135026157;010;80.0;230.0;270.0;360
46;2011;71043599999;187.89560213727907;105.71386693520512;010;80.0;210.0;280.0;360
47;2013;61017099999;134.53973249409913;89.41500932464747;040;40.0;120.0;180.0;360
48;2014;71043599999;170.47191758059157;107.56326978570881;010;70.0;170.0;270.0;360
49;1995;71043599999;176.07843137254903;107.89779661991702;010;70.0;180.0;270.0;360
50;2022;07002099999;179.0504765266502;95.75699326487955;010;90.0;180.0;250.0;360
51;2010;71043599999;185.78173719376392;105.1404990126612;010;80.0;210.0;270.0;360
52;2014;61017099999;133.28731665228645;90.81465554138747;020;80.0;100.0;180.0;360
53;2017;61017099999;135.19434628975264;88.81795485830777;020;100.0;100.0;140.0;360
54;2013;71043599999;205.23214285714286;94.16364191773297;010;100.0;250.0;270.0;350
55;2011;61017099999;129.6298984034833;91.63372847789675;040;40.0;100.0;140.0;360
56;2002;93546099999;176.44080996884736;101.73422029450442;010;70.0;210.0;240.0;360
57;2018;93546099999;175.59376107763205;101.76236128268646;010;80.0;200.0;240.0;360
58;2022;71043599999;188.2532347504621;104.66809625397077;010;80.0;210.0;280.0;360
59;2017;93546099999;177.04641350210971;102.48579403356707;010;80.0;210.0;240.0;360
60;2014;93546099999;178.5044404973357;101.21332804256538;010;90.0;210.0;240.0;360
61;2022;93546099999;169.14790439903012;111.19539444889979;010;50.0;180.0;240.0;360
62;1980;07002099999;202.84085927224902;99.78088105706672;020;120.0;220.0;280.0;360
63;2016;93546099999;174.8930949877322;103.07388585180166;010;70.0;210.0;240.0;360
64;2014;67743099999;133.95098039215685;81.82672603552336;010;90.0;110.0;140.0;360
65;2002;61017099999;135.00584795321637;79.1389180481787;010;100.0;100.0;160.0;360
66;2019;93546099999;175.12135922330097;103.58783545677964;010;70.0;200.0;240.0;360
67;1995;61017099999;136.05607476635515;112.78246582796355;020;40.0;100.0;180.0;360
68;1980;61017099999;119.40864960282435;108.45812969459571;010;40.0;80.0;180.0;360
69;2012;93546099999;174.1056338028169;103.60315320126011;010;70.0;200.0;240.0;360
70;1995;07002099999;182.24569640062597;98.03132552312105;010;90.0;200.0;250.0;360
